AS0     -Private Use AS-
AS1     LVLT-1 - Level 3 Communications, Inc.
AS2     DCN-AS - University of Delaware
AS3     MIT-GATEWAYS - Massachusetts Institute of Technology
AS4     ISI-AS - University of Southern California
AS5     SYMBOLICS - Symbolics, Inc.
AS6     BULL-HN - Bull HN Information Systems Inc.
AS7     UK Defence Research Agency
AS8     RICE-AS - Rice University
AS9     CMU-ROUTER - Carnegie Mellon University
AS10    CSNET-EXT-AS - CSNET Coordination and Information Center (CSNET-CIC)
AS11    HARVARD - Harvard University
AS12    NYU-DOMAIN - New York University
AS13    BRL-AS - DoD Network Information Center
AS14    COLUMBIA-GW - Columbia University
AS15    NET-DYNAMICS-EXP - DYNAMICS
AS16    LBL - University of California
AS17    PURDUE - Purdue University
AS18    UTEXAS - University of Texas at Austin
AS19    CSS-DOMAIN - Center for Seismic Studies
AS20    UR - University of Rochester
AS21    RAND - The RAND Corporation
AS22    NOSC - DoD Network Information Center
AS23    NISN-SIP-AS - National Aeronautics and Space Administration
AS24    AMES-NAS-GW - National Aeronautics and Space Administration
AS25    UCB - University of California at Berkeley
AS26    CORNELL - Cornell University
AS27    UMDNET - University of Maryland at College Park
AS28    DFVLR-SYS Deutsches Zentrum fuer Luft- und Raumfahrt
AS29    YALE-AS - Yale University
AS30    SRI-AICNET - SRI Internatiional
AS31    CIT - California Institute of Technology
AS32    STANFORD - Stanford University
AS33    HP-DIGITAL-33 - Hewlett-Packard Company
AS34    UDELNET - University of Delaware
AS35    MICATON - MICATON
AS36    EGP-TESTOR - SRI International
AS37    NSWC - Naval Surface Warfare Center
AS38    UIUC - University of Illinois
AS39    NRL-ITD - DoD Network Information Center
AS40    MIT-TEST - Massachusetts Institute of Technology
AS41    AMES - NASA Ames Research Center
AS42    WOODYNET-1 - WoodyNet
AS43    BNL-AS - Brookhaven National Laboratory
AS44    S1-DOMAIN - Lawrence Livermore National Laboratory
AS45    LLL-TIS-AS - Lawrence Livermore National Laboratory
AS46    RUTGERS - Rutgers University
AS47    USC-AS - University of Southern California
AS48    NRL-AS - Naval Research Laboratory
AS49    ICST-AS - National Bureau of Standards
AS50    ORNL-MSRNET - Oak Ridge National Laboratory
AS51    USAREUR-EM-AS - USAREUR Electronic Mail
AS52    UCLA - University of California, Los Angeles
AS53    NORTHROP-AS - Northrop Grumman Corporation - Automation Sciences Laboratory
AS54    COA-FIN-NET-AS - Headquarters, USAAISC
AS55    UPENN-CIS - University of Pennsylvania
AS56    OPTIMIS-P - OPTIMIS Division
AS57    UMN-REI-UC - University of Minnesota
AS58    DREA-AS - Defence Research Establishment Atlantic
AS59    WISC-MADISON-AS - University of Wisconsin Madison
AS60    DARPA-BFLY - Advanced Info. Technology Services
AS61    DEC-MARLBORO-AS - Digital Equipment Corporation
AS62    TEKVAXC - Teknowledge, Inc.
AS63    LL-MI - Massachusetts Institute of Technology
AS64    MITRE-AS-2 - The MITRE Corporation
AS65    LOGNET-AS - DoD Network Information Center
AS66    ETL-AI - Headquarters, USAAISC
AS67    SDC-PRC-AS - Unisys Corporation
AS68    LANL-INET-AS - Los Alamos National Laboratory
AS69    WHARTON-AS - University of Pennsylvania
AS70    NLM-GW - National Library of Medicine
AS71    HP-INTERNET-AS Hewlett-Packard Company
AS72    SCHLUMBERGER-AS Schlumberger Limited
AS73    WASHINGTON-AS - University of Washington
AS74    XDRENET-AS - Defence Research Establishment
AS75    ANL-AS - Argonne National Laboratory
AS76    SDC-CAM-AS - Unisys Corporation
AS77    JHUAPL-AS - Johns Hopkins University Applied Physics Laboratory
AS78    SYNTEGRA - Syntegra (USA), Inc.
AS79    DSPO-HC-AS - Los Alamos National Laboratory
AS80    GE-CRD - General Electric Company
AS81    NCREN - MCNC
AS82    TWG-DEMO-AS - The Wollongong Group
AS83    PICANET-AS - Picatinny
AS84    DTNSRDC-AS1 - David Taylor Naval Ship Research and Development Center
AS85    AERO-NET - The Aerospace Corporation
AS86    CSC-300-AS86 - Computer Sciences Corporation
AS87    INDIANA-AS - Indiana University
AS88    PRINCETON-AS - Princeton University
AS89    NUSC-CSTLNET-AS - Naval Underwater Systems Center
AS90    SUN-AS - Sun Microsystems, Inc.
AS91    RPI-AS - Rennselaer Polytechnic Institute
AS92    CLARKSON-AS - Clarkson University
AS93    NTTA-93 - NTT America, Inc.
AS94    BELVOIR-NET - Directorate of Automation Services
AS95    NUSCLSB1 - Naval Underwater Systems Center
AS96    JTELS-BEN1-AS - Headquarters, USAAISC
AS97    NTTA-97 - NTT America, Inc.
AS98    ROCKEFELLER-AS - The Rockefeller University
AS99    INTEL-IWARP - Intel Corporation
AS100   FMC-CTC - FMC Central Engineering Laboratories
AS101   WASH-NSF-AS - University of Washington
AS102   NSF-HQ-AS - National Science Foundation
AS103   NWU-AS - Northwestern University
AS104   COLORADO-AS - University of Colorado at Boulder
AS105   MOT-MCD-AS - Gould Computer Systems Division
AS106   GDAIS-ASN-106 - General Dynamics Advanced Information Systems, Inc.
AS107   ECSNET-AS - Oklahoma City Air Logistics Center
AS108   XEROX-AS - Xerox Corporation
AS109   CISCO-EU-109 Cisco Systems Global ASN - ARIN Assigned
AS110   XAIT-AS - Xerox Advanced Information Technology
AS111   BOSTONU-AS - Boston University
AS112   ROOTSERV Root Server Technical Operations Assn
AS113   SCCNET-AS - Space Communications Company
AS114   NTTA-114 - NTT America, Inc.
AS115   PBAS-BEN2-GW-AS - Director, Army Information Systems
AS116   TELCORDIA - Telcordia Technologies
AS117   ALBM-NET-AS - Lockheed Austin Division
AS118   NSWSES-NAVY-AS - Naval Ship Weapons Engineering Systems
AS119   AMS-AS - American Mathematical Society
AS120   MITRE-OMAHA - The MITRE Corporation
AS121   IH-POE-AS - DoD Network Information Center
AS122   U-PGH-NET-AS - University of Pittsburgh Medical Center
AS123   LOGAIRCOMNET-AS - Air Force Logistics Command/SCMON
AS124   DNIC - DoD Network Information Center
AS125   HI-NET-AS - Honeywell, Inc.
AS126   MINSY-POE-AS - DoD Network Information Center
AS127   JPL-AS - Jet Propulsion Laboratory
AS128   ADS-AS - Advanced Decision Systems
AS129   DNIC - DoD Network Information Center
AS130   CSOCNET-AS - Space Communications Division
AS131   UCSB-NET-AS - University of California, Santa Barbara
AS132   WPAFB-CSD-NET-AS - ASD/SCOSI
AS133   AFIT-AS - Air Force Institute of Technology
AS134   CORONA-GW-AS - Fleet Analysis Center
AS135   DNIC - DoD Network Information Center
AS136   ECONET-AS - AD/KRSSD
AS137   ASGARR GARR Italian academic and research network
AS138   DNIC - DoD Network Information Center
AS139   NUWESNET-AS - Naval Undersea Warfare Engineering Station
AS140   DAITC-NET-AS - Defense Technical Information Cntr
AS141   NWCNET-AS - Naval Weapons Center
AS142   WESTPOINT - U.S. Military Academy
AS143   OOG1-AS - 1881CS/XPC
AS144   ATT-INTERNET - Lucent Technologies/Bell Laboratories
AS145   VBNS - MCI Communications Corporation
AS146   HQEIS-AS - DoD Network Information Center
AS147   NAVCAMS-LAN-AS - Naval Telecommunications Automation Support Center
AS148   NWSC-GW-AS - Naval Surface Warfare Center
AS149   DNIC - DoD Network Information Center
AS150   SEANET-AS - Navy Network Information Center (NNIC)
AS151   IND-NTC-AS - Hewlett-Packard Company
AS152   SRI-ACCATT-AS - SRI International
AS153   SAAD-ARPA-AS - Sacramento Army Depot
AS154   USACEC-NET-AS - USAISEC
AS155   DNIC - DoD Network Information Center
AS156   NORTHEASTERN-GW-AS - Northeastern University
AS157   INTELLIAUTON - Silicon Graphics, Inc.
AS158   ERI-AS - Ericsson Network Systems, Inc.
AS159   SONNET-AS - The Ohio State University
AS160   U-CHICAGO-AS - University of Chicago
AS161   TI-AS - Texas Instruments, Inc.
AS162   NIOCU132NIPR - DoD Network Information Center
AS163   IBM-RESEARCH-AS - IBM Almaden Research Center
AS164   DDN-MB-AS - DISA Information Systems Center
AS165   NESEA-DDN-GW-AS - Naval Electronics Systems Engineering Activity
AS166   IDA-AS - Institute for Defense Analyses
AS167   WESLEYAN-AS - Wesleyan University
AS168   UMASS-AMHERST - University of Massachusetts
AS169   HANSCOM-NET-AS - ESD/SCO
AS170   YKTNPOE-GW-AS - Naval Weapons Station, Yorktown
AS172   CSDA-AS - Central Systems Design Acitivity
AS173   ERX-ECLNET Electrical Communications Laboratories
AS174   COGENT Cogent/PSI
AS175   AFWL-AS - Air Force Weapons Laboratory
AS176   BCN-AS - Information Systems and Networks Corporation
AS177   MERIT-AS - IPMA/University of Michigan/EECS
AS178   IBMYORKTOWN-AS - Merit Network Inc.
AS179   IBMMILFORD-AS - IPMA/University of Michigan/EECS
AS180   MCIRESTON-AS - IPMA/University of Michigan/EECS
AS181   MERIT-AS-1 - Merit Network Inc.
AS182   MERIT-AS-2 - Merit Network Inc.
AS183   MERIT-AS-3 - Merit Network Inc.
AS184   MERIT-AS-4 - Merit Network Inc.
AS185   MERIT-AS-5 - Merit Network Inc.
AS186   CUA-AS - The Catholic University of America
AS188   SAIC-AS - Science Applications International Corporation
AS189   LVLT-189 - Level 3 Communications, Inc.
AS190   NSYPTSMH-POE-AS - Portsmouth Naval Shipyard
AS191   NORDA-AS - Naval Research Laboratory
AS192   ROCHINSTTECH - Rochester Institute of Technology
AS193   FORD-ASN - Lockheed Martin Western Development Labs
AS194   NCAR-AS - University Corporation for Atmospheric Research
AS195   SDSC-AS - San Diego Supercomputer Center
AS196   RISC-SYSTEM - Rockwell Scientific Company
AS197   RAYTHEON-AS-2 - Raytheon Company
AS198   ARL-SNI-AS - Army Research Laboratory
AS199   LVLT-199-203 - Level 3 Communications, Inc.
AS200   LVLT-199-203 - Level 3 Communications, Inc.
AS201   LVLT-199-203 - Level 3 Communications, Inc.
AS202   LVLT-199-203 - Level 3 Communications, Inc.
AS203   LVLT-199-203 - Level 3 Communications, Inc.
AS204   PSCNET-AS - Pittsburgh Supercomputing Center
AS205   MONTCLAIR-AS - Montclair State University
AS206   CSC-IGN-AMER - Computer Sciences Corporation
AS207   CLI-GW-AS - Computational Logic, Inc.
AS208   LBNS-POE-AS - Long Beach Naval Shipyard
AS209   ASN-QWEST - Qwest
AS210   WEST-NET-WEST - Utah Education Network
AS211   RADC-LONS-GW-AS - Rome Air Development Center
AS212   HQAFSC-LONS-GW-AS - Headquarters, Air Force Systems Command
AS213   APGEA-NET1-AS - Headquarters, USAAISC
AS214   USNA-AS - U.S. Naval Academy
AS215   RIA-2-AUTO-AS - DoD Network Information Center
AS216   LMSC-HOSTNET-AS - Air Force Logistics Command
AS217   UMN-AGS-NET-AS - University of Minnesota
AS218   AFOTECPCNET-AS - Air Force Operational Test and Evaluation Center/SCO
AS219   PUGET-POE-AS - DoD Network Information Center
AS220   OOALC-HOSTNET-AS - Air Force Logistics Command
AS221   WRALC-HOSTNET-AS - Air Force Logistics Command
AS222   SMALC-HOSTNET-AS - Air Force Logistics Command
AS223   TISW-AS - Sparta, Inc.
AS224   UNINETT UNINETT, The Norwegian University & Research Network
AS225   VIRGINIA-AS - University of Virginia
AS226   LOS-NETTOS-AS - Los Nettos
AS227   SHAFTER-AS - Army
AS228   DC-SUN-NET-AS - Navy Regional Data Automation Center - Washington
AS229   MERIT-AS-6 - Merit Network Inc.
AS230   MERIT-AS-7 - Merit Network Inc.
AS231   MERIT-AS-8 - Merit Network Inc.
AS232   MERIT-AS-9 - Merit Network Inc.
AS233   MERIT-AS-10 - Merit Network Inc.
AS234   BLACKROSE-1 - Blackrose Society
AS235   MERIT-AS-12 - Merit Network Inc.
AS236   MERIT-AS-13 - Merit Network Inc.
AS237   MERIT-AS-14 - Merit Network Inc.
AS238   MERIT-AS-15 - Merit Network Inc.
AS239   UTORONTO-AS - University of Toronto
AS240   SAALC-HOSTNET-AS - San Antonio Air Logistics Center
AS241   OCALC-HOSTNET-AS - Oklahoma City Air Logistics Center
AS242   SSSD-AS - SUPSHIP
AS243   HARRIS-ATD-AS - Harris Government Systems Sector
AS244   ITT-FEC-AS - ITT / Federal Electric Corporation
